account,tokens,protocol,score,rank,explanation
0xe7879a2d05dba966fcca34ee9c3f99eee7edefd1,347222,juicebox.benefits,889,1,"Participated in 74 JuiceboxDAO Governance proposals.,Held $JBX for 214 days."
0xb82adf9206ffa17b5be784d94a8ac76606691c56,347222,juicebox.benefits,801,2,"Participated in 68 JuiceboxDAO Governance proposals.,Held $JBX for 184 days."
0x1396a34a60a247e97e2ed6e9a7c43e8cad7a24de,347222,juicebox.benefits,731,3,"Participated in 56 JuiceboxDAO Governance proposals.,Held $JBX for 204 days."
0xca6ed3fdc8162304d7f1fcfc9ca3a81632d5e5b0,347222,juicebox.benefits,716,4,"Participated in 71 JuiceboxDAO Governance proposals.,Held $JBX for 103 days."
0xf5aa24cc247ac13486bf3ae9346776bab439b31d,347222,juicebox.benefits,697,5,"Participated in 69 JuiceboxDAO Governance proposals.,Held $JBX for 101 days."
0x97432c12ea8c957c3ae2d59c9953cf8df9cbc5b0,347222,juicebox.benefits,674,6,"Participated in 66 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x3f5d2058971dfd0103e3bf5e423620b5a42db357,347222,juicebox.benefits,674,6,"Participated in 66 JuiceboxDAO Governance proposals.,Held $JBX for 102 days."
0x90eda5165e5e1633e0bdb6307cdecae564b10ff7,347222,juicebox.benefits,660,8,"Participated in 44 JuiceboxDAO Governance proposals.,Held $JBX for 224 days."
0x6877be9e00d0bc5886c28419901e8cc98c1c2739,347222,juicebox.benefits,630,9,"Participated in 45 JuiceboxDAO Governance proposals.,Held $JBX for 196 days."
0xf7253a0e87e39d2cd6365919d4a3d56d431d0041,347222,juicebox.benefits,612,10,"Participated in 39 JuiceboxDAO Governance proposals.,Held $JBX for 218 days."
0x5706d5ad7a68bf8692bd341234be44ca7bf2f654,347222,juicebox.benefits,605,11,"Participated in 58 JuiceboxDAO Governance proposals.,Held $JBX for 99 days."
